Team,"Historic Score 

as of 2016/17","Historic score
Feat Scale
as of 2016/17","Average Odds
HomeWin 2017/18",MEDIAN (w/o MAX),"Averaged/AVGMedian Odds
Home Win
2017/18","Real Probabilty
Home Wins
Total",Hist + Table/Current Predicted Odds,"CORRELs
weighted Odds","CORRELs
median Odds","CORRELs
average Odds","CORRELs
historic Odds","WINS
weighted Odds","Back ""H""
if aggr. weighted
over Historic",Median Odds,"SMALL spread
spec. bets
using
""great Odds""","BIG spread
spec. bets
using ""great Odds""","SMALL spread
spec. bets
using
small spread odds",Higher Than Pinnacle,
Aachen,56,"1,08","0,00",#N/A,#N/A,#N/A,#N/A,"-0,696","-0,684","-0,696","-0,506",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Augsburg,248,"1,33","2,99","2,40","2,70","0,35","2,37",,,,,"-2,20","0,875","-2,15","1,85","0,00","-2,15","1,40","13,00"
Bayern Munich,742,"2,00","1,22","1,16","1,19","0,82","1,58",,,,,"-0,98","0,625","-1,01","7,99","0,00","-0,01","-0,38","8,00"
Bielefeld,236,"1,32","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Bochum,292,"1,39","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Braunschweig,55,"1,07","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Cottbus,162,"1,22","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Darmstadt,91,"1,12","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Dortmund,691,"1,93","1,63","1,45","1,54","0,53","1,79",,,,,"-3,01","-0,695",-3,"0,00","0,00","-3,00","0,05","14,00"
Duisburg,95,"1,13","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Ein Frankfurt,491,"1,66","2,54","1,96","2,25","0,47","2,06",,,,,"-1,05","-3,115","-1,04","0,96","0,00","-1,04","2,32","15,00"
FC Koln,384,"1,52","3,41","2,80","3,11","0,18","2,27",,,,,"-5,79","-4,790","-5,75","-3,75","0,00","-5,75","-1,00","15,00"
Fortuna Dusseldorf,56,"1,08","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Freiburg,380,"1,51","3,51","2,70","3,11","0,41","2,29",,,,,"2,67","3,665","2,65","8,65","-1,00","5,65","-1,00","11,00"
Greuther Furth,55,"1,07","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Hamburg,633,"1,85","3,82","2,60","3,21","0,35","2,02",,,,,"-3,11","-2,105","-3,1","1,90","-1,00","-1,10","0,05","12,00"
Hannover,570,"1,77","3,00","2,60","2,80","0,47","2,02",,,,,"6,45","6,445","6,49","7,49","0,00","6,49","-1,00","16,00"
Hertha,549,"1,74","2,83","2,15","2,49","0,29","2,00",,,,,"-7,90","-7,805","-7,91","-5,91","0,00","-6,91","-0,02","15,00"
Hoffenheim,381,"1,51","2,22","1,83","2,03","0,65","2,07",,,,,"6,87","8,285","7,07","11,07","5,69","9,07","0,65","13,00"
Ingolstadt,95,"1,13","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Kaiserslautern,241,"1,32","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Karlsruhe,95,"1,13","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Leverkusen,678,"1,91","1,78","1,53","1,66","0,47","1,90",,,,,"-5,17","-3,210","-5,14","-1,14","0,00","-5,14","1,50","13,00"
Mainz,464,"1,63","3,08","2,55","2,82","0,41","2,15",,,,,"0,15","0,420","0,17","2,17","0,00","1,17","0,00","15,00"
Mgladbach,580,"1,78","2,28","1,95","2,12","0,53","2,01",,,,,"1,47","1,615","1,54","4,54","0,00","2,54","0,83","14,00"
Munich 1860,88,"1,12","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Nurnberg,411,"1,55","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Paderborn,55,"1,07","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
RB Leipzig,71,"1,10","1,93","1,65","1,79","0,53","2,40",,,,,"1,39","4,320","1,34","6,34","0,00","1,34","-1,00","12,00"
Schalke 04,685,"1,92","2,22","1,80","2,01","0,59","1,80",,,,,"0,30","1,985","0,3","4,30","0,00","1,30","1,23","13,00"
St Pauli,55,"1,07","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Stuttgart,611,"1,82","2,89","2,40","2,65","0,59","2,01",,,,,"8,31","10,305","8,37","8,37","0,00","8,37","1,15","17,00"
Union Berlin,15,"1,02","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Werder Bremen,656,"1,88","2,96","2,37","2,67","0,35","1,96",,,,,"-4,34","-4,150","-4,32","-1,32","-1,00","-3,32","-1,19","14,00"
Wolfsburg,629,"1,85","2,79","2,25","2,52","0,18","2,02",,,,,"-11,14","-10,405","-11,11","-9,11","0,00","-10,11","-1,00","15,00"
Heidenheim,15,"1,02","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
,,,,,,,,,,,,"-17,08","2,27","-16,60","44,40","2,69","-2,60","2,59","245,00"
