Team,"Historic Score 

as of 2012/13","Historic score
Feat Scale
as of 2012/13","Average Odds
HomeWin 2013/14",MEDIAN (w/o MAX),"Averaged/AVGMedian Odds
Home Win
2013/14","Real Probabilty
Home Wins
Total",Hist + Table/Current Predicted Odds,"CORRELs
weighted Odds","CORRELs
median Odds","CORRELs
average Odds","CORRELs
historic Odds","WINS
weighted Odds","Back ""H""
if aggr. weighted
over Historic",Median Odds,"SMALL spread
spec. bets
using
""great Odds""","BIG spread
spec. bets
using ""great Odds""","SMALL spread
spec. bets
using
small spread odds",Higher Than Pinnacle,
Aachen,52,"1,10","0,00",#N/A,#N/A,#N/A,#N/A,"-0,809","-0,771","-0,828","-0,546",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Augsburg,82,"1,15","2,69","2,05","2,37","0,53","2,49",,,,,"6,10","6,960","5,955","3,205","6,96","0,205","-1,00","12,00"
Bayern Munich,542,"2,00","1,15","1,13","1,14","0,88","1,59",,,,,"-1,16","0,000","-1,11","5,89","0,00","-0,11","-0,81","10,00"
Bielefeld,232,"1,43","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Bochum,288,"1,53","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Braunschweig,19,"1,04","4,14","3,50","3,82","0,29","2,80",,,,,"2,46","1,205","2,535","4,535","0,00","4,535","0,00","15,00"
Cottbus,158,"1,29","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Darmstadt,11,"1,02","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Dortmund,501,"1,92","1,45","1,33","1,39","0,65","1,75",,,,,"-2,94","-1,000","-2,895","1,105","0,00","-2,895","0,15","13,00"
Duisburg,91,"1,17","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Ein Frankfurt,336,"1,62","2,96","2,30","2,63","0,29","2,12",,,,,"-5,81","-2,555","-5,78","-4,78","-1,00","-4,78","0,00","16,00"
FC Koln,248,"1,46","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Fortuna Dusseldorf,52,"1,10","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Freiburg,256,"1,47","3,69","2,75","3,22","0,35","2,26",,,,,"-0,33","-1,545","-0,425","3,575","-2,00","2,575","0,00","13,00"
Greuther Furth,51,"1,09","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Hamburg,485,"1,89","2,95","2,30","2,63","0,29","1,98",,,,,"0,05","1,050","-0,17","1,83","5,69","1,83","0,00","15,00"
Hannover,449,"1,83","3,03","2,46","2,75","0,47","1,99",,,,,"0,12","2,123","0,105","2,105","-1,00","2,105","0,00","15,00"
Hertha,384,"1,71","2,98","2,20","2,59","0,35","2,06",,,,,"-6,99","-4,490","-6,94","-1,94","-1,00","-4,94","0,00","12,00"
Hoffenheim,213,"1,39","2,82","2,15","2,48","0,41","2,28",,,,,"-1,70","0,665","-1,675","1,325","0,00","-0,675","0,00","14,00"
Ingolstadt,11,"1,02","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Kaiserslautern,237,"1,44","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Karlsruhe,91,"1,17","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Leverkusen,497,"1,92","1,86","1,55","1,71","0,59","1,81",,,,,"-3,37","-4,000","-3,35","1,65","0,00","-2,35","0,00","12,00"
Mainz,299,"1,55","2,94","2,38","2,66","0,59","2,11",,,,,"1,03","-2,503","1,035","5,035","-1,00","3,035","0,79","13,00"
Mgladbach,398,"1,73","2,39","1,95","2,17","0,65","1,98",,,,,"5,71","2,143","5,77","7,77","0,00","5,77","1,22","15,00"
Munich 1860,84,"1,15","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Nurnberg,374,"1,69","3,50","2,55","3,03","0,18","2,12",,,,,"-10,06","-8,063","-10,045","-5,045","0,00","-8,045","0,00","12,00"
Paderborn,11,"1,02","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
RB Leipzig,11,"1,02","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Schalke 04,505,"1,93","2,13","1,73","1,93","0,71","1,84",,,,,"4,24","2,545","4,24","6,24","0,00","5,24","0,66","15,00"
St Pauli,51,"1,09","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Stuttgart,495,"1,91","2,85","2,25","2,55","0,29","1,98",,,,,"-6,10","-4,103","-6,115","-4,115","-1,00","-5,115","0,00","15,00"
Union Berlin,11,"1,02","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Werder Bremen,495,"1,91","3,51","2,55","3,03","0,35","1,96",,,,,"-0,12","-0,118","-0,145","2,855","-1,00","0,855","0,00","14,00"
Wolfsburg,456,"1,84","2,43","1,83","2,13","0,65","1,94",,,,,"6,93","5,628","6,955","10,955","-1,00","7,955","1,08","13,00"
Heidenheim,11,"1,02","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
,,,,,,,,,,,,"-11,93","-6,06","-12,06","42,20","3,65","5,20","2,09","244,00"
