Team,"Historic Score 

as of 2015/16","Historic score
Feat Scale
as of 2015/16","Average Odds
HomeWin 2016/17",MEDIAN (w/o MAX),"Averaged/AVGMedian Odds
Home Win
2016/17","Real Probabilty
Home Wins
Total",Hist + Table/Current Predicted Odds,"CORRELs
weighted Odds","CORRELs
median Odds","CORRELs
average Odds","CORRELs
historic Odds","WINS
weighted Odds","Back ""H""
if aggr. weighted
over Historic",Median Odds,"SMALL spread
spec. bets
using
""great Odds""","BIG spread
spec. bets
using ""great Odds""","SMALL spread
spec. bets
using
small spread odds",Higher Than Pinnacle,
Aachen,55,"1,08","0,00",#N/A,#N/A,#N/A,#N/A,"-0,511","-0,513","-0,508","-0,557",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Augsburg,210,"1,30","3,60","2,80","3,20","0,29","2,35",,,,,"-4,82","-5,630","-4,8","2,2","-1,00","-2,8","0,00","10,00"
Bayern Munich,692,"2,00","1,20","1,17","1,18","0,76","1,55",,,,,"-2,45","0,000","-2,42","4,58","0,00","-1,42","0,00","10,00"
Bielefeld,235,"1,34","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Bochum,291,"1,42","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Braunschweig,54,"1,08","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Cottbus,161,"1,23","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Darmstadt,58,"1,08","5,15","3,60","4,37","0,35","2,62",,,,,"10,40","10,395","10,1","13,1","-1,00","13,1","0,00","14,00"
Dortmund,643,"1,93","1,50","1,36","1,43","0,76","1,79",,,,,"1,59","2,410","1,58","10,58","0,00","2,58","0,50","8,00"
Duisburg,94,"1,14","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
