Team,"Historic Score 

as of 2011/12","Historic score
Feat Scale
as of 2011/12","Average Odds
HomeWin 2012/13",MEDIAN (w/o MAX),"Averaged/AVGMedian Odds
Home Win
2012/13","Real Probabilty
Home Wins
Total",Hist + Table/Current Predicted Odds,"CORRELs
weighted Odds","CORRELs
median Odds","CORRELs
average Odds","CORRELs
historic Odds","WINS
weighted Odds","Back ""H""
if aggr. weighted
over Historic",Median Odds,"SMALL spread
spec. bets
using
""great Odds""","BIG spread
spec. bets
using ""great Odds""","SMALL spread
spec. bets
using
small spread odds",Higher Than Pinnacle,
Aachen,51,"1,10","0,00",#N/A,#N/A,#N/A,#N/A,"-0,797","-0,804","-0,782","-0,740",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Augsburg,46,"1,09","3,20","2,45","2,83","0,29","2,66",,,,,"-5,85","-4,120","-5,71","-2,71","-1,00","-2,71","-1,00","14,00"
Bayern Munich,492,"2,00","1,23","1,20","1,21","0,82","1,55",,,,,"-0,25","-1,000","-0,225","6,775","0,00","-0,225","-0,90","10,00"
Bielefeld,231,"1,47","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Bochum,287,"1,58","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Braunschweig,10,"1,02","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Cottbus,157,"1,32","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Darmstadt,10,"1,02","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Dortmund,452,"1,92","1,45","1,36","1,41","0,59","1,76",,,,,"-4,86","-1,000","-4,86","-1,86","0,00","-3,86","0,18","14,00"
Duisburg,90,"1,18","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Ein Frankfurt,291,"1,59","2,42","2,03","2,22","0,53","1,95",,,,,"-0,15","3,853","-0,175","2,825","-1,00","1,825","-2,00","14,00"
FC Koln,247,"1,50","0,00",#N/A,#N/A,#N/A,#N/A,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"0,00"
Fortuna Dusseldorf,18,"1,04","3,43","2,88","3,15","0,29","2,68",,,,,"-3,02","-0,018","-3,095","-1,095","-1,00","-1,095","0,00","15,00"
Freiburg,210,"1,43","2,75","2,20","2,48","0,47","2,20",,,,,"-1,16","-0,195","-1,165","3,835","-1,00","0,835","0,62","12,00"
Greuther Furth,18,"1,04","3,27","2,87","3,07","0,00","2,70",,,,,"-17,00","-11,000",-17,-14,"-1,00",-15,"-1,00","14,00"
