Rank,Jahr,Club
9,2002,Frosinone
9,2003,Frosinone
9,2004,Livorno
9,2005,Fiorentina
9,2006,Sampdoria
9,2007,Atalanta
9,2008,Cagliari
9,2009,Genoa
9,2010,Fiorentina
9,2011,Bologna
9,2012,Inter
9,2013,Lazio
9,2014,Torino
9,2015,Chievo
9,2016,Torino
9,2017,Torino
9,2018,Sampdoria
9,2019,Hellas
9,2020,Sampdoria
9,2021,Hellas
9,2022,Bologna
10,2002,Torino
10,2003,Torino
10,2004,Lazio
10,2005,Ascoli
10,2006,Udinese
10,2007,Genoa
10,2008,Lazio
10,2009,Bari
10,2010,Genoa
10,2011,Chievo
10,2012,Parma
10,2013,Hellas
10,2014,Milan
10,2015,Empoli
10,2016,Sampdoria
10,2017,Sampdoria
10,2018,Bologna
10,2019,Fiorentina
10,2020,Hellas
10,2021,Torino
10,2022,Torino
11,2002,Sassuolo
11,2003,Sassuolo
11,2004,Lecce
11,2005,Udinese
11,2006,Livorno
11,2007,Palermo
11,2008,Atalanta
11,2009,Fiorentina
11,2010,Chievo
11,2011,Catania
11,2012,Cagliari
11,2013,Atalanta
11,2014,Palermo
11,2015,Genoa
11,2016,Cagliari
11,2017,Sassuolo
11,2018,Sassuolo
11,2019,Parma
11,2020,Genoa
11,2021,Sassuolo
11,2022,Monza
12,2002,Monza
12,2003,Monza
12,2004,Cagliari
12,2005,Reggina
12,2006,Parma
12,2007,Lazio
12,2008,Napoli
12,2009,Lazio
12,2010,Parma
12,2011,Atalanta
12,2012,Chievo
12,2013,Sampdoria
12,2014,Sassuolo
12,2015,Torino
12,2016,Sassuolo
12,2017,Genoa
12,2018,Udinese
12,2019,Bologna
12,2020,Bologna
12,2021,Udinese
12,2022,Udinese
13,2002,Roma
13,2003,Roma
13,2004,Reggina
13,2005,Sampdoria
13,2006,Catania
13,2007,Siena
13,2008,Sampdoria
13,2009,Catania
13,2010,Catania
13,2011,Fiorentina
13,2012,Bologna
13,2013,Udinese
13,2014,Hellas
13,2015,Atalanta
13,2016,Udinese
13,2017,Chievo
13,2018,SPAL
13,2019,Udinese
13,2020,Fiorentina
13,2021,Bologna
13,2022,Sassuolo
14,2002,Genoa
14,2003,Genoa
14,2004,Siena
14,2005,Cagliari
14,2006,Reggina
14,2007,Cagliari
14,2008,Siena
14,2009,Chievo
14,2010,Cagliari
14,2011,Siena
14,2012,Sampdoria
14,2013,Genoa
14,2014,Chievo
14,2015,Bologna
14,2016,Chievo
14,2017,Udinese
14,2018,Parma
14,2019,Cagliari
14,2020,Udinese
14,2021,Empoli
14,2022,Empoli
15,2002,Hellas
15,2003,Hellas
15,2004,Chievo
15,2005,Siena
15,2006,Siena
15,2007,Torino
15,2008,Catania
15,2009,Udinese
15,2010,Cesena
15,2011,Cagliari
15,2012,Atalanta
15,2013,Cagliari
15,2014,Empoli
15,2015,Sampdoria
15,2016,Bologna
15,2017,Bologna
15,2018,Cagliari
15,2019,Sampdoria
15,2020,Spezia
15,2021,Sampdoria
15,2022,Salernitana
16,2002,Lazio
16,2003,Lazio
16,2004,Fiorentina
16,2005,Lazio
16,2006,Torino
16,2007,Reggina
16,2008,Chievo
16,2009,Cagliari
16,2010,Bologna
16,2011,Palermo
16,2012,Torino
16,2013,Chievo
16,2014,Udinese
16,2015,Palermo
16,2016,Genoa
16,2017,Cagliari
16,2018,Fiorentina
16,2019,Torino
16,2020,Cagliari
16,2021,Spezia
16,2022,Lecce
17,2002,Udinese
17,2003,Udinese
17,2004,Bologna
17,2005,Messina
17,2006,Cagliari
17,2007,Catania
17,2008,Bologna
17,2009,Bologna
17,2010,Lecce
17,2011,Genoa
17,2012,Genoa
17,2013,Sassuolo
17,2014,Atalanta
17,2015,Udinese
17,2016,Crotone
17,2017,SPAL
17,2018,Genoa
17,2019,Genoa
17,2020,Torino
17,2021,Salernitana
17,2022,Spezia
18,2002,Salernitana
18,2003,Salernitana
18,2004,Parma
18,2005,Lecce
18,2006,Chievo
18,2007,Empoli
18,2008,Torino
18,2009,Atalanta
18,2010,Sampdoria
18,2011,Lecce
18,2012,Palermo
18,2013,Catania
18,2014,Cagliari
18,2015,Carpi
18,2016,Empoli
18,2017,Crotone
18,2018,Empoli
18,2019,Lecce
18,2020,Benevento
18,2021,Cagliari
18,2022,Hellas
19,2002,Empoli
19,2003,Empoli
19,2004,Brescia
19,2005,Treviso
19,2006,Ascoli
19,2007,Parma
19,2008,Reggina
19,2009,Siena
19,2010,Brescia
19,2011,Novara
19,2012,Siena
19,2013,Bologna
19,2014,Cesena
19,2015,Frosinone
19,2016,Palermo
19,2017,Hellas
19,2018,Frosinone
19,2019,Brescia
19,2020,Crotone
19,2021,Genoa
19,2022,Cremonese
20,2002,Cagliari
20,2003,Cagliari
20,2004,Atalanta
20,2005,Juventus
20,2006,Messina
20,2007,Livorno
20,2008,Lecce
20,2009,Livorno
20,2010,Bari
20,2011,Cesena
20,2012,Pescara
20,2013,Livorno
20,2014,Parma
20,2015,Hellas
20,2016,Pescara
20,2017,Benevento
20,2018,Chievo
20,2019,SPAL
20,2020,Parma
20,2021,Venedig
20,2022,Sampdoria
